id;kode_pohon;nama_lokal;nama_latin;Group;Icon;status_iucn;diameter;tinggi;unit_PS;jenis_lahan;nama_khas_wilayah;Latitude;Longitude;elevasi;jarak_permukiman;status_adopsi;nama_pengadopsi;masa_berlaku;nama_surveyor;waktu_survei;harga_adopsi;serapan_karbon;penyedia_bibit;metode_karbon;Image1;Image2;Image3;Image4;chart_link
96;BAA0127RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;45;28;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5493616;101.0797352;20.37942149;3.02;Belum;-;-;Putri;9/22/2021 15:19;200000;4458.54;-;Chave et al, 2014;;;;;
97;BAA0128RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;43;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5493961;101.0799675;11.65866723;3.01;Belum;-;-;Hari Yudistira;9/22/2021 15:24;200000;4364.11;-;Chave et al, 2014;;;;;
98;BAA0129RBF;Asam ;Garcinia sp.;Pohon Dewasa;icon/mature_tree.svg;Not Defined;40;18;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5496682;101.0800373;40.8140651;2.98;Belum;-;-;Putri;9/22/2021 15:27;200000;2672.86;-;Chave et al, 2014;;;;;
99;BAA0130RBF;Leban;Vitex Pinnata;Pohon Dewasa;icon/mature_tree.svg;Least Concern;46;15;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5495406;101.07985;30.56122387;3;Belum;-;-;Putri;9/22/2021 15:32;200000;2945.7;-;Chave et al, 2014;;;;;
100;BAA0131RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;42;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5496185;101.0798947;18.42200219;2.99;Belum;-;-;Hari Yudistira;9/22/2021 15:37;200000;4168.2;-;Chave et al, 2014;;;;;
101;BAA0132RBF;Simpur;Dillenia sp.;Pohon Muda;icon/young_tree.svg;Least Concern;36;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5496182;101.0799311;21.30877495;2.99;Belum;-;-;Putri;9/22/2021 15:40;50000;3085.09;-;Chave et al, 2014;;;;;
102;BAA0133RBF;Asam ;Garcinia sp.;Pohon Dewasa;icon/mature_tree.svg;Not Defined;40;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5496252;101.0799391;9.64687831;2.99;Belum;-;-;Hari Yudistira;9/22/2021 15:44;200000;4400.48;-;Chave et al, 2014;;;;;
103;BAA0134RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;52;22;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5498002;101.0798115;18.81794157;2.98;Belum;-;-;Putri;9/22/2021 15:50;200000;4672.38;-;Chave et al, 2014;;;;;
104;BAA0135RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;43;28;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5497551;101.0798281;23.72705522;2.98;Belum;-;-;Putri;9/22/2021 15:53;200000;4079.92;-;Chave et al, 2014;;;;;
105;BAA0136RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;50;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5497341;101.0798009;18.46561701;2.99;Belum;-;-;Putri;9/22/2021 15:56;200000;4903.14;-;Chave et al, 2014;;;;;
106;BAA0137RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;45;28;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5498715;101.0798212;8.163027162;2.97;Belum;-;-;Putri;9/22/2021 15:59;200000;4458.54;-;Chave et al, 2014;;;;;
107;BAA0138RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;42;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5497726;101.0798258;-7.971152754;2.98;Belum;-;-;Hari Yudistira;9/22/2021 16:02;200000;4168.2;-;Chave et al, 2014;;;;;
108;BAA0066RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;56;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5493214;101.0799581;16.59249562;3.01;Belum;-;-;Hari Yudistira;9/22/2021 16:17;200000;7308.5;-;Chave et al, 2014;;;;;
109;BAA0141RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;45;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5488731;101.0795518;18.9847894;3.08;Belum;-;-;Hari Yudistira;9/22/2021 16:35;200000;4769.1;-;Chave et al, 2014;;;;;
110;BAA0144RBF;Asam;Garcinia sp.;Pohon Dewasa;icon/mature_tree.svg;Not Defined;40;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5487729;101.0797111;-1.859537869;3.08;Belum;-;-;Basriman;9/22/2021 16:40;200000;4400.48;-;Chave et al, 2014;;;;;
111;BAA0085RBF;Kandis;Garcinia sp.;Pohon Muda;icon/young_tree.svg;Not Defined;33.4;18;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5442085;101.0824001;4.56461312;3.39;Belum;-;-;Jefri Neldi;9/22/2021 11:21;50000;1879.78;-;Chave et al, 2014;;;;;
112;BAA0086RBF;Kandis;Garcinia sp.;Pohon Muda;icon/young_tree.svg;Not Defined;38.2;19;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5441373;101.0822118;6.09102554;3.4;Belum;-;-;Jefri Neldi;9/22/2021 11:25;50000;2575.49;-;Chave et al, 2014;;;;;
113;BAA0094RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;40;18;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5487592;101.0800241;14.42899397;3.06;Belum;-;-;M. Farouq Ikhsan;9/22/2021 13:41;200000;2301.77;-;Chave et al, 2014;;;;;
114;BAA0096RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;89;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5488944;101.0801943;19.77635985;3.04;Belum;-;-;Jefri Neldi;9/22/2021 13:46;200000;18054.06;-;Chave et al, 2014;;;;;
115;BAA0097RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;73;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5490632;101.0802154;23.6446256;3.02;Belum;-;-;Abu Bakar;9/22/2021 13:50;200000;10263.39;-;Chave et al, 2014;;;;;
116;BAA0098RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;52;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5490068;101.0802627;5.324866029;3.03;Belum;-;-;M. Farouq Ikhsan;9/22/2021 13:53;200000;5293.26;-;Chave et al, 2014;;;;;
117;BAA0099RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;47;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5490118;101.0803511;14.99535061;3.02;Belum;-;-;Jefri Neldi;9/22/2021 13:56;200000;4345.3;-;Chave et al, 2014;;;;;
118;BAA0100RBF;Simpur;Dillenia sp.;Pohon Muda;icon/young_tree.svg;Least Concern;33;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5489687;101.0804602;18.33034978;3.02;Belum;-;-;Jefri Neldi;9/22/2021 14:00;50000;1752.43;-;Chave et al, 2014;;;;;
119;BAA0107RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;40;22;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5490435;101.0803945;-1.045079134;3.01;Belum;-;-;Abu Bakar;9/22/2021 14:09;200000;2799.76;-;Chave et al, 2014;;;;;
120;BAA0106RBF;Simpur;Dillenia sp.;Pohon Muda;icon/young_tree.svg;Least Concern;31;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5490733;101.08047;1.860296678;3.01;Belum;-;-;Abu Bakar;9/22/2021 14:13;50000;1551.1;-;Chave et al, 2014;;;;;
121;BAA0105RBF;Simpur;Dillenia sp.;Pohon Muda;icon/young_tree.svg;Least Concern;31;17;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5489282;101.0803965;3.592071839;3.03;Belum;-;-;Jefri Neldi;9/22/2021 14:16;50000;1323.58;-;Chave et al, 2014;;;;;
